id,nombre,lng,lat,altitud,corriente,zona,subzona,cenpoblado,municipio,depart,ctg,cotacero,areaaferete,maxnivel,maxcaudal,umbralsen,umbralobs,umbralpron,uroja,unaranja,uamarilla,ubajos,umaxhis,subred,en_H,en_Hsim,en_Q,en_Qsim,en_Calidad,NIVEL,CAUDAL
0026197020,BRASILIA    [26197020],-75.875583,5.681333,820.0,BOLIVAR,Cauca,Río San Juan,CIUDAD BOLIVAR,CIUDAD BOLIVAR,ANTIOQUIA,Limnigráfica,0.0,228.442954323,1.02,11.75,,,,,,,0.11,3.0,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0026207030,PTE IGLESIAS   [26207030],-75.7055,5.829944,583.388,CAUCA,Cauca,Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md),FREDONIA,FREDONIA,ANTIOQUIA,Limnigráfica,567.933,357.146018374,3.65,902.23,,,,,,,0.4,8.0,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0026207080,BOLOMBOLO AUTOM   [26207080],-75.841694,5.966083,532.698,CAUCA,Cauca,Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md),VENECIA,VENECIA,ANTIOQUIA,Limnigráfica,525.24,30992.6666843,4.7,1313.01,,,,5.96,5.46,4.96,0.8,7.64,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0026217010,GALERA LA   [26217010],-75.8643,6.5549,662.0,TONUSCO,Cauca,Directos Río Cauca entre Río San Juan y Pto Valdivia (mi),SANTAFE DE ANTIOQUIA,SANTAFE DE ANTIOQUIA,ANTIOQUIA,Limnigráfica,0.0,319.013291483,1.43,8.8,,,,,,,0.26,8.83,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0026217050,CAÑAFISTO    [26217050],-75.8194,6.4175,534.0,CAUCA,Cauca,Directos Río Cauca entre Río San Juan y Pto Valdivia (mi),SANTAFE DE ANTIOQUIA,SANTAFE DE ANTIOQUIA,ANTIOQUIA,Limnigráfica,461.171,32706.472785,3.05,1516.47,,,,5.2,5.0,4.9,0.27,6.36,RED NACIONAL DE CALIDAD DEL AGUA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
0026237040,PTO VALDIVIA AUTOM  [26237040],-75.396306,7.287083,130.74,CAUCA,Cauca,Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md),VALDIVIA,VALDIVIA,ANTIOQUIA,Limnigráfica,121.68,37389.1112827,3.68,1072.11,,,,,,,0.15,8.36,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0026237100,OLAYA [26237100],-75.826167,6.644944,175.0,CAUCA,Cauca,Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md),OLAYA,OLAYA,ANTIOQUIA,Limnigráfica,0.0,34137.4058474,2.96,,,,,,,,0.02,8.56,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
0026247010,PALMIRA HDA   [26247010],-75.372917,7.796861,80.0,MAN,Cauca,Río Taraza - Río Man,CACERES,CACERES,ANTIOQUIA,Limnigráfica,0.0,344.148054428,3.11,28.22,,,,,,,0.22,7.18,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0026247020,LA COQUERA AUTOM  [26247020],-75.196,7.962139,52.55,CAUCA,Bajo Magdalena- Cauca -San Jorge,Bajo San Jorge - La Mojana,CAUCASIA,CAUCASIA,ANTIOQUIA,Limnigráfica,46.19,40987.4541251,3.79,1922.81,,,Amarilla,4.34,4.04,3.74,0.07,5.56,RED NACIONAL DE CALIDAD DEL AGUA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
0026247030,APAVI    [26247030],-75.32795278,7.470553056,105.954,CAUCA,Cauca,Directos al Cauca entre Pto Valdivia y Río Nechí (md),TARAZA,TARAZA,ANTIOQUIA,Limnimétrica,94.86,38075.8770651,2.85,1077.4,,,,,,,0.09,7.32,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
