Station,Latitude,Longitude,COMID_v1,Bias Corrected,Corrected Variability,Corrected Correlation,Corrected KGE
Congo_boumba_km1637,2.1691,15.1505,7069109,0.999561109,0.997905491,0.919592257,0.919563784
Congo_busira_km1355,-0.2446,19.2251,7072796,0.998283696,0.921571253,0.775631482,0.762312714
Congo_busira_km1362,-0.2394,19.2919,7072796,0.99832262,0.915643365,0.80686412,0.789238704
Congo_busira_km1372,-0.2153,19.3736,7072679,0.998231749,0.998370841,0.840089527,0.840071452
Congo_busira_km1431,-0.2579,19.7542,7072763,0.998061178,1.160075167,0.878784755,0.799199219
Congo_busira_km1444,-0.2889,19.8576,7072767,0.998446534,1.007140468,0.794147734,0.794018072
Congo_busira_km1513,-0.2199,20.2314,7072764,0.998399092,0.919257459,0.698034833,0.687422197
Congo_busira_km1541,-0.3229,20.3326,7072872,0.998316574,0.976479447,0.788325326,0.787015921
Congo_busira_km1556,-0.3506,20.4286,7072872,0.998436724,0.878408119,0.721353515,0.695975506
Congo_busira_km1593,-0.3401,20.6719,7072878,0.99841253,0.9853502,0.817589459,0.81699524
Congo_chinko_km2656,5.3834,24.2094,7062973,0.999374791,0.883043703,0.934465608,0.865933141
Congo_chinko_km2691,5.5352,24.3131,7062644,0.999475029,0.997752793,0.874393551,0.874372353
Congo_chinko-Trib-01_km2709,5.6531,24.3396,7062344,0.999293077,0.860013054,0.873668015,0.811435381
Congo_chiumbe_km1858,-7.8636,21.0736,7082420,0.999935044,0.979245392,0.842348301,0.840988
Congo_congo_km0001,-6.07,12.466,7080331,0.375202887,1.771843414,0.231053748,-0.255942685
Congo_congo_km0030,-6.0269,12.7174,7080278,0.741330029,1.148729644,0.428206876,0.355036406
Congo_congo_km0031,-6.0269,12.7199,7080278,0.840348704,0.969556481,0.521738157,0.494876516
Congo_congo_km0032,-6.034,12.722,7080278,0.831823547,1.03555183,0.594672925,0.559730435
Congo_congo_km0039,-6.0255,12.7854,7080278,0.87013921,1.01505601,0.778998215,0.743227149
Congo_congo_km0062,-5.926,12.934,7080165,0.94872503,1.02793683,0.896351606,0.881035389
Congo_congo_km0091,-5.8836,13.1519,7080119,0.893562905,0.867427821,0.846664125,0.771054312
Congo_congo_km0116,-5.9064,13.3616,7080130,0.904785709,0.902700951,0.858239808,0.803457846
Congo_congo_km0156,-5.7109,13.5811,7080000,0.980764988,0.935814881,0.950880332,0.916918974
Congo_congo_km0290,-5.1546,13.9885,7079363,0.99560031,0.970229008,0.946474975,0.938594808
Congo_congo_km0309,-5.0289,14.0216,7079285,0.995014577,0.946003875,0.940845682,0.91975245
Congo_congo_km0328,-4.948,14.155,7079089,0.995197931,0.909094052,0.867821419,0.83950661
Congo_congo_km0351,-4.9226,14.3406,7079048,0.993959246,0.927143905,0.941706184,0.906497752
Congo_congo_km0376,-4.8625,14.5264,7079027,0.996152573,0.998301476,0.960957411,0.960731546
Congo_congo_km0522,-4.301,15.449,7078318,0.999189207,0.975430018,0.912550904,0.90916121
Congo_congo_km0548,-4.145,15.414,7078249,0.999341989,0.976398307,0.923461348,0.919902322
Congo_congo_km0561,-4.0494,15.5449,7078249,0.998935164,0.931612776,0.908987344,0.886152515
Congo_congo_km0622,-3.7936,15.9584,7077849,0.998769385,0.975189026,0.932820725,0.928374908
